RAP_ID,Gene_Symbol,S1,S2,S2_keyword,S3,S3_keywords,S4,S4_note,S5,S5_keyinfo,Conservative,Exploratory
OS01G0282800,OsTUB1,S1b,S2a,microtubule stabilization; Kinesin13A interaction; OsHKT1;5 trafficking; Na+ homeostasis,S3b,cytoskeleton reorganization; ion transporter localization,S4b,"tubulin genes and microtubule reorganization linked to salt tolerance in Arabidopsis, but no one-to-one ortholog of OsTUB1 functionally proven",S5a,Overexpression and loss-of-function of OsTUB1 alter rice survival under salt stress by stabilizing microtubules and maintaining plasma-membrane Na+ transporter OsHKT1;5; gene interacts with Kinesin13A,Yes,No
OS01G0534900,OsOSCA1.1,S1b,S2a,hyperosmolality-gated Ca2+ channel; osmotic and salt-stress Ca2+ influx; stomatal closure,S3a,osmotic stress signalling; Ca2+-mediated signalling; ABA-related stomatal regulation,S4a,Arabidopsis OSCA1 (ortholog of OSCA1.1) mediates osmotic-stress-evoked Ca2+ signals essential for osmosensing and salt responses; OSCA1.1 is OSCA1 homologue in rice,S5a,"Rice ososca1.1 mutants and OSCA1.1-overexpression lines show altered Ca2+ signals, stomatal movement and tolerance under hyperosmotic and salt stress, demonstrating role in salt-stress sensing",Yes,Yes
OS03G0386000,OsSRWD5,S1b,S2b,salt-responsive WD40 protein; expression induced by salt; molecular mechanism not experimentally defined,S3b,-,S4b,"WD40 proteins implicated in stress responses in other species, but no high-confidence ortholog of SRWD5 with proven salinity function",S5b,Only expression and annotation data as a salt-responsive WD40 protein; no published rice gain- or loss-of-function experiments directly testing salt tolerance,No,No
OS04G0620700,OsNUC1,S1b,S2a,nucleolin; rRNA processing; photosynthesis adaptation; oxidative-stress protection under salinity,S3b,nucleolar function; translational control; photosynthetic protection,S4b,"Nucleolin-like proteins characterized in Arabidopsis and other plants, but salt-tolerance function mainly shown for rice OsNUC1 itself rather than clear one-to-one orthologs",S5a,"Overexpression of a partial fragment of OsNUC1 in rice improves growth, photosynthetic performance and survival under NaCl; OsNUC1 splice variants associated with salt tolerance QTL signals",Yes,Yes
OS05G0488800,OsSIRP1,S1b,S2b,RING-type E3 ubiquitin ligase; reported negative regulator of responses to salt mainly in heterologous Arabidopsis system,S3b,ubiquitin–proteasome system (inferred); no validated salt pathway node in rice,S4b,Homologous RING E3 ligases affect abiotic stress in several species but no one-to-one ortholog with salt-tolerance phenotype firmly linked to OsSIRP1,S5a,Available studies largely analyze OsSIRP1 via overexpression in Arabidopsis; no clear report of rice OsSIRP1 mutants or overexpression lines with quantified salinity phenotypes,Yes,No
OS06G0606000,OsSOS2/OsCIPK24,S1b,S2a,CBL4-interacting protein kinase; activates plasma-membrane Na+/H+ antiporter OsSOS1; core SOS Ca2+–CBL–CIPK module for Na+ extrusion,S3a,SOS signalling pathway; Ca2+-dependent salt-stress signalling; Na+ efflux and ionic homeostasis,S4a,"Arabidopsis SOS2, the clear ortholog of OsSOS2/OsCIPK24, is genetically proven to control salt tolerance; the SOS pathway is conserved between Arabidopsis and rice",S5a,"Rice OsSOS2 function mainly inferred from heterologous assays (yeast, Arabidopsis) and expression/QTL association; no definitive rice mutant/overexpression study with quantified salinity phenotype located",Yes,Yes
OS07G0679000,OsHAK9,S1b,S2a,high-affinity K+ transporter; maintains K+/Na+ balance in germinating seeds; regulates GA metabolism via OsGA2ox7,S3a,K+ transport; K+/Na+ homeostasis; gibberellin signalling during seed germination under salt,S4b,"Other HAK transporters in wheat, maize, and Arabidopsis influence salt tolerance, but OsHAK9 does not yet have a clearly defined one-to-one ortholog with conserved salt function",S5a,MutMap-derived oshak9 mutants and complementation/overexpression lines show altered seed germination and K+ flux under NaCl via OsGA2ox7-mediated GA catabolism; disruption reduces salt-germination tolerance,Yes,Yes
OS10G0456800,DCA1,S1b,S2a,CHY zinc-finger E3 ligase; transcriptional co-activator of DST; regulates H2O2-scavenging peroxidase Prx24; controls stomatal density/closure,S3b,ROS homeostasis; stomatal regulation; ABA-related drought/salt responses (not a canonical KEGG salt node),S4b,DST-like zinc finger factors exist in other cereals but conserved DCA1 orthologs with demonstrated salinity roles have not been clearly reported,S5a,"Rice dca1 mutant and overexpression lines show altered H2O2 levels, stomatal traits and improved or reduced tolerance to both salt and drought; DCA1–DST complex directly modulates Prx24 expression",Yes,Yes
OS10G0518200,OsCYB5-2,S1b,S2a,ER-localized cytochrome b5; interacts with OsHAK21; regulates K+ uptake and Na+ influx; maintains cellular K+/Na+ homeostasis under salt,S3a,K+ transport pathway (OsHAK21–OsCYB5-2 module); ion homeostasis under salinity,S4b,"Cyb5 proteins participate in sugar or ion-related signalling in Arabidopsis and other species, but explicit salt-tolerance phenotypes of clear OsCYB5-2 orthologs remain limited",S5a,"Rice lines with altered OsCYB5-2 expression exhibit changes in OsHAK21-mediated K+ uptake, K+/Na+ ratios and survival under salt; PNAS study demonstrates ER-localized OsCYB5-2 is required for high-affinity K+ transport in response to salt stress",Yes,Yes
OS01G0102800,OsCHR704,S1b,S2b,"Snf2-family chromatin remodeller; expression responsive to some stresses, but no direct salt-tolerance mechanism defined",S3b,epigenetic regulation (inferred); not mapped to specific salt-stress signalling pathway,S4b,"Snf2/BRAHMA-like chromatin remodellers in Arabidopsis regulate development and stress gene expression, but no direct salt-tolerance phenotype assigned to the CHR704 ortholog(s)",S5b,Studies so far provide expression profiling and family-level analyses of Snf2 genes; no OsCHR704-focused rice mutant or overexpression study with salt phenotyping identified,No,No
